num_personas,num_vehiculos,num_motocicleta,num_bicis,num_camiones,num_autobuses,num_peatones,num_pasajeros,num_hombres,num_mujeres,max_lesividad,coord_x,coord_y,distrito,droga_alcohol,tiempo_desfavorable,noche
2,1,1,0,0,0,0,2,1,1,2,444913.0,4481427.0,HORTALEZA,0,1,0
2,0,1,1,0,0,0,2,2,0,2,440123.0,4475170.0,CENTRO,0,1,0
2,2,0,0,0,0,0,2,2,0,0,440137.0,4475721.0,CHAMBERÍ,0,0,0
2,1,0,0,1,0,0,2,2,0,0,440709.0,4480102.0,TETUÁN,0,0,0
2,2,0,0,0,0,0,2,2,0,0,433983.0,4468473.0,LATINA,0,1,0
1,1,0,0,0,0,0,1,1,0,0,437064.0,4478229.0,MONCLOA-ARAVACA,0,0,0
9,9,0,0,0,0,0,9,5,4,1,443927.0,4473998.0,RETIRO,0,0,1
2,2,0,0,0,0,0,2,1,1,0,443249.0,4471571.0,PUENTE DE VALLECAS,1,0,1
2,2,0,0,0,0,0,2,0,2,0,444513.0,4473729.0,MORATALAZ,0,0,1
1,1,0,0,0,0,0,1,0,1,0,436809.0,4469484.0,CARABANCHEL,1,0,1
2,2,0,0,0,0,0,2,1,1,0,440193.0,4474773.0,CENTRO,0,0,0
2,2,0,0,0,0,0,2,1,1,0,437002.0,4470046.0,CARABANCHEL,0,0,0
2,2,0,0,0,0,1,1,2,0,2,442700.0,4475970.0,SALAMANCA,0,0,0
2,1,0,1,0,0,0,2,2,0,0,441549.0,4475931.0,CHAMBERÍ,1,0,0
2,1,1,0,0,0,0,2,2,0,0,442268.0,4478258.0,CHAMARTÍN,0,0,0
2,0,1,0,0,1,0,2,1,1,0,437822.0,4471073.0,CARABANCHEL,0,0,0
2,1,0,1,0,0,0,2,2,0,2,437732.0,4470986.0,CARABANCHEL,0,0,0
1,1,0,0,0,0,0,1,1,0,0,443496.0,4472305.0,PUENTE DE VALLECAS,1,0,0
2,2,0,0,0,0,0,2,2,0,2,447084.0,4472972.0,VICÁLVARO,0,0,0
6,6,0,0,0,0,0,6,3,3,0,441147.0,4472907.0,ARGANZUELA,0,0,0
2,2,0,0,0,0,0,2,2,0,0,443832.0,4475667.0,SALAMANCA,0,0,0
1,1,0,0,0,0,0,1,0,1,0,439125.0,4476637.0,CHAMBERÍ,0,0,0
1,1,0,0,0,0,0,1,1,0,0,448375.0,4472779.0,VICÁLVARO,1,0,0
3,2,0,1,0,0,0,3,2,1,2,439122.0,4480403.0,FUENCARRAL-EL PARDO,0,0,1
1,1,0,0,0,0,0,1,1,0,0,441697.0,4471196.0,ARGANZUELA,0,0,1
2,1,1,0,0,0,0,2,2,0,2,442361.0,4473141.0,RETIRO,0,0,1
2,1,1,0,0,0,0,2,2,0,0,441385.0,4468726.0,USERA,0,0,1
2,2,0,0,0,0,1,1,1,1,0,441302.0,4473060.0,ARGANZUELA,0,0,1
1,1,0,0,0,0,0,1,0,1,0,443065.0,4475662.0,SALAMANCA,0,0,1
2,1,0,0,1,0,0,2,2,0,0,441829.0,4480261.0,CHAMARTÍN,0,0,0
4,0,0,0,4,0,1,3,3,1,0,445775.0,4469684.0,VILLA DE VALLECAS,0,0,0
1,1,0,0,0,0,0,1,1,0,0,440234.0,4478376.0,TETUÁN,0,0,0
2,1,0,0,1,0,0,2,1,1,0,439147.0,4473245.0,ARGANZUELA,0,0,0
2,2,0,0,0,0,1,1,2,0,1,449849.0,4482596.0,BARAJAS,0,0,0
2,2,0,0,0,0,0,2,1,1,2,435234.0,4472480.0,LATINA,1,0,0
1,0,0,1,0,0,0,1,1,0,2,439897.0,4465733.0,VILLAVERDE,0,0,0
1,1,0,0,0,0,0,1,1,0,0,440793.0,4482315.0,FUENCARRAL-EL PARDO,0,0,0
2,1,1,0,0,0,0,2,2,0,2,450731.0,4478204.0,BARAJAS,0,0,0
2,1,1,0,0,0,0,2,1,1,1,441788.0,4475430.0,SALAMANCA,0,0,0
3,3,0,0,0,0,0,3,3,0,2,438800.0,4473956.0,CENTRO,0,0,0
3,1,2,0,0,0,0,3,3,0,2,447696.0,4477204.0,SAN BLAS-CANILLEJAS,0,0,0
2,2,0,0,0,0,0,2,2,0,0,442997.0,4470675.0,PUENTE DE VALLECAS,0,0,0
2,2,0,0,0,0,0,2,1,1,1,448270.0,4474626.0,SAN BLAS-CANILLEJAS,0,0,1
2,2,0,0,0,0,0,2,2,0,0,436451.0,4470141.0,CARABANCHEL,0,0,0
1,0,1,0,0,0,0,1,1,0,2,438057.0,4472792.0,LATINA,0,1,0
3,2,0,0,0,1,0,3,2,1,0,438402.0,4471552.0,CARABANCHEL,0,1,0
2,2,0,0,0,0,0,2,1,1,2,446482.0,4479976.0,HORTALEZA,0,0,0
3,3,0,0,0,0,0,3,2,1,0,442532.0,4471491.0,ARGANZUELA,0,0,0
2,0,0,2,0,0,1,1,2,0,2,440785.0,4475122.0,CENTRO,0,0,0
1,0,1,0,0,0,0,1,1,0,2,441193.0,4471426.0,ARGANZUELA,0,0,0
